"Plot Title: 2404829"
"#","Date Time, GMT+02:00","Wind Speed, m/s (LGR S/N: 2404829, SEN S/N: 10280990)","Gust Speed, m/s (LGR S/N: 2404829, SEN S/N: 10280990)"
1,04/27/20 04:00:01 PM,0.25,4.03
2,04/27/20 04:10:01 PM,1.26,3.53
3,04/27/20 04:20:01 PM,1.01,3.02
4,04/27/20 04:30:01 PM,1.26,3.78
5,04/27/20 04:40:01 PM,1.76,4.78
6,04/27/20 04:50:01 PM,1.26,3.53
7,04/27/20 05:00:01 PM,1.26,3.78
8,04/27/20 05:10:01 PM,2.01,4.78
9,04/27/20 05:20:01 PM,1.51,4.28
10,04/27/20 05:30:01 PM,1.01,4.28
11,04/27/20 05:40:01 PM,1.51,4.28
12,04/27/20 05:50:01 PM,1.51,4.28
13,04/27/20 06:00:01 PM,1.51,3.27
14,04/27/20 06:10:01 PM,1.51,3.53
15,04/27/20 06:20:01 PM,1.76,3.78
16,04/27/20 06:30:01 PM,1.51,4.78
17,04/27/20 06:40:01 PM,1.51,4.03
18,04/27/20 06:50:01 PM,1.01,3.02
19,04/27/20 07:00:01 PM,1.26,4.28
20,04/27/20 07:10:01 PM,1.26,3.02
21,04/27/20 07:20:01 PM,0.76,2.52
22,04/27/20 07:30:01 PM,0.76,2.52
23,04/27/20 07:40:01 PM,1.01,2.27
24,04/27/20 07:50:01 PM,0.50,2.77
25,04/27/20 08:00:01 PM,0.25,1.76
26,04/27/20 08:10:01 PM,0.25,1.26
27,04/27/20 08:20:01 PM,0.00,1.26
28,04/27/20 08:30:01 PM,0.50,2.27
29,04/27/20 08:40:01 PM,1.01,2.77
30,04/27/20 08:50:01 PM,1.26,3.78
31,04/27/20 09:00:01 PM,0.76,2.52
32,04/27/20 09:10:01 PM,0.50,2.52
33,04/27/20 09:20:01 PM,0.25,2.27
34,04/27/20 09:30:01 PM,0.25,2.01
35,04/27/20 09:40:01 PM,0.25,1.76
36,04/27/20 09:50:01 PM,0.76,3.02
37,04/27/20 10:00:01 PM,0.76,2.52
38,04/27/20 10:10:01 PM,0.76,1.76
39,04/27/20 10:20:01 PM,0.50,1.76
40,04/27/20 10:30:01 PM,0.25,1.26
41,04/27/20 10:40:01 PM,0.00,1.26
42,04/27/20 10:50:01 PM,0.25,1.26
43,04/27/20 11:00:01 PM,0.00,1.76
44,04/27/20 11:10:01 PM,0.00,1.26
45,04/27/20 11:20:01 PM,0.00,1.01
46,04/27/20 11:30:01 PM,0.00,1.01
47,04/27/20 11:40:01 PM,0.00,0.76
48,04/27/20 11:50:01 PM,0.00,0.50
49,04/28/20 12:00:01 AM,0.00,0.00
50,04/28/20 12:10:01 AM,0.00,0.00
51,04/28/20 12:20:01 AM,0.25,1.76
52,04/28/20 12:30:01 AM,1.01,2.27
53,04/28/20 12:40:01 AM,0.25,1.76
54,04/28/20 12:50:01 AM,0.00,1.26
55,04/28/20 01:00:01 AM,0.00,2.01
56,04/28/20 01:10:01 AM,0.50,2.01
57,04/28/20 01:20:01 AM,0.00,1.01
58,04/28/20 01:30:01 AM,0.25,1.26
59,04/28/20 01:40:01 AM,0.76,2.01
60,04/28/20 01:50:01 AM,0.76,2.52
61,04/28/20 02:00:01 AM,0.50,4.03
62,04/28/20 02:10:01 AM,0.76,2.52
63,04/28/20 02:20:01 AM,0.76,2.27
64,04/28/20 02:30:01 AM,1.01,2.77
65,04/28/20 02:40:01 AM,1.01,2.77
66,04/28/20 02:50:01 AM,0.50,2.77
67,04/28/20 03:00:01 AM,0.76,2.27
68,04/28/20 03:10:01 AM,0.76,2.52
69,04/28/20 03:20:01 AM,0.25,2.01
70,04/28/20 03:30:01 AM,0.25,2.01
71,04/28/20 03:40:01 AM,0.50,3.02
72,04/28/20 03:50:01 AM,0.50,2.01
73,04/28/20 04:00:01 AM,0.76,3.27
74,04/28/20 04:10:01 AM,1.26,3.53
75,04/28/20 04:20:01 AM,1.01,3.02
76,04/28/20 04:30:01 AM,1.01,3.78
77,04/28/20 04:40:01 AM,0.76,2.77
78,04/28/20 04:50:01 AM,0.76,3.27
79,04/28/20 05:00:01 AM,0.50,3.02
80,04/28/20 05:10:01 AM,0.50,2.52
81,04/28/20 05:20:01 AM,0.50,3.27
82,04/28/20 05:30:01 AM,1.51,4.78
83,04/28/20 05:40:01 AM,2.01,4.78
84,04/28/20 05:50:01 AM,2.01,4.53
85,04/28/20 06:00:01 AM,2.27,6.04
86,04/28/20 06:10:01 AM,2.27,5.79
87,04/28/20 06:20:01 AM,1.01,3.53
88,04/28/20 06:30:01 AM,1.01,3.53
89,04/28/20 06:40:01 AM,0.76,3.02
90,04/28/20 06:50:01 AM,1.01,2.52
91,04/28/20 07:00:01 AM,0.76,2.77
92,04/28/20 07:10:01 AM,1.26,3.02
93,04/28/20 07:20:01 AM,1.51,3.78
94,04/28/20 07:30:01 AM,2.27,4.28
95,04/28/20 07:40:01 AM,1.51,3.02
96,04/28/20 07:50:01 AM,1.76,4.03
97,04/28/20 08:00:01 AM,2.01,3.78
98,04/28/20 08:10:01 AM,2.52,5.79
99,04/28/20 08:20:01 AM,2.27,5.29
100,04/28/20 08:30:01 AM,2.52,4.53
