date	depth_m	temp	oxygen_mg_l	oxygen_perc	ph
14-05-2019	0,25	14,3	16,66	159,3	8,65
14-05-2019	0,5	14,1	16,73	159,3	8,68
14-05-2019	1	14	16,53	157,7	8,71
14-05-2019	1,5	13,8	16,63	158	8,67
14-05-2019	2	13,8	16,67	157,8	8,7
14-05-2019	2,5	13,7	16,95	160,3	8,7
14-05-2019	3	13,7	17,49	165	8,66
26-06-2019	0,25	22,3	12,14	139,2	7,88
26-06-2019	0,5	22,4	12	136,7	7,88
26-06-2019	1	22,2	11,89	135,7	7,88
26-06-2019	1,5	22,1	12	136,6	7,89
26-06-2019	2	21,8	11,86	135,1	7,84
26-06-2019	2,5	21,4	10,55	120,9	7,7
26-06-2019	3	20,8	0,76	8	7,2
23-07-2019	0,25	20,8	10,41	116,1	8,15
23-07-2019	0,5	20,7	10,33	115	8,15
23-07-2019	1	20,5	10,31	114,3	8,18
23-07-2019	1,5	20,4	10,45	115,5	8,26
23-07-2019	2	20,3	8,04	88	7,84
23-07-2019	2,5	20,2	5,36	58,9	7,55
19-08-2019	0,25	18,6	10,19	109,6	8,18
19-08-2019	0,5	18,4	10,34	111,9	8,18
19-08-2019	1	18,3	10,17	108,8	8,19
19-08-2019	1,5	18,1	9,34	100,2	8,04
19-08-2019	2	18,1	9,12	97,5	8,01
19-08-2019	2,5	18	8,81	93,8	7,96
19-08-2019	3	18	8,98	93,8	8,03
16-09-2019	0,25	14	11,8	117	
16-09-2019	0,5	14	11,5	112	
16-09-2019	1	13,9	11,1	108	
16-09-2019	1,5	13,9	10,9	106	
16-09-2019	2	13,9	10,8	105	
16-09-2019	2,5	13,9	10,7	104	
16-09-2019	3	13,8	10,7	104	
27-11-2019	0,25	6,6	10,2	85	7,6
27-11-2019	0,5	6,5	10,5	87	7,62
27-11-2019	1	6,5	10,3	86	7,62
27-11-2019	1,5	6,5	10,1	84	7,62
27-11-2019	2	6,5	10,1	84	7,65
27-11-2019	2,5	6,5	10	83	7,66
27-11-2019	3	6,5	9,9	82	7,66
18-02-2020	0,25	5,5	12,5	99	7,88
18-02-2020	0,5	5,4	12,2	97	7,91
18-02-2020	1	5,4	12,5	99	7,96
18-02-2020	1,5	5,4	12,3	97	7,97
18-02-2020	2	5,4	12,2	97	7,93
18-02-2020	2,5	5,4	12	95	8,04
18-02-2020	3	5,4	11,9	94	8,05
